comparison,index,target,baseline_prediction,candidate_prediction,transition
Original LoRA versus Baseline,2,pullover,pullover,shirt,regressed
Original LoRA versus Baseline,3,trouser,shirt,trouser,fixed
Original LoRA versus Baseline,5,shirt,pullover,shirt,fixed
Original LoRA versus Baseline,7,coat,pullover,coat,fixed
Original LoRA versus Baseline,15,coat,pullover,coat,fixed
Original LoRA versus Baseline,17,pullover,pullover,shirt,regressed
Original LoRA versus Baseline,20,t-shirt/top,t-shirt/top,shirt,regressed
Original LoRA versus Baseline,21,pullover,pullover,shirt,regressed
Original LoRA versus Baseline,27,shirt,pullover,shirt,fixed
Original LoRA versus Baseline,29,ankle boot,ankle boot,sneaker,regressed
Original LoRA versus Baseline,35,bag,shirt,bag,fixed
Original LoRA versus Baseline,36,t-shirt/top,t-shirt/top,shirt,regressed
Original LoRA versus Baseline,41,shirt,t-shirt/top,shirt,fixed
Original LoRA versus Baseline,50,pullover,pullover,coat,regressed
Balanced LoRA versus Baseline,3,trouser,shirt,trouser,fixed
Balanced LoRA versus Baseline,5,shirt,pullover,shirt,fixed
Balanced LoRA versus Baseline,6,trouser,shirt,trouser,fixed
Balanced LoRA versus Baseline,7,coat,pullover,coat,fixed
Balanced LoRA versus Baseline,15,coat,pullover,coat,fixed
Balanced LoRA versus Baseline,17,pullover,pullover,coat,regressed
Balanced LoRA versus Baseline,20,t-shirt/top,t-shirt/top,shirt,regressed
Balanced LoRA versus Baseline,21,pullover,pullover,shirt,regressed
Balanced LoRA versus Baseline,22,sandal,sneaker,sandal,fixed
Balanced LoRA versus Baseline,27,shirt,pullover,shirt,fixed
Balanced LoRA versus Baseline,35,bag,shirt,bag,fixed
Balanced LoRA versus Baseline,36,t-shirt/top,t-shirt/top,shirt,regressed
Balanced LoRA versus Baseline,40,ankle boot,sneaker,ankle boot,fixed
Balanced LoRA versus Baseline,41,shirt,t-shirt/top,shirt,fixed
Balanced LoRA versus Baseline,50,pullover,pullover,coat,regressed
